nome_curso,plataforma,categoria,linguagem,duracao_horas,preco,avaliacao_media,num_alunos,certificado,instrutor_experiente,sucesso
Fundamentos de Django,Udemy,Programação,Django,25,106.74,4.68,2155,Sim,Não,Alto
TDD com Power BI,Origamid,QA/Testes,Power BI,28,162.97,4.36,1174,Sim,Sim,Alto
Administração em Django,Coursera,Banco de Dados,Django,18,246.59,4.37,1517,Sim,Sim,Alto
Apps com C#,Udemy,Mobile,C#,26,94.99,4.41,1241,Sim,Sim,Alto
Arquiteturas na Vue,Alura,Cloud,Vue,21,268.86,4.39,1596,Não,Sim,Médio
Machine Learning com AWS,DIO,IA/ML,AWS,47,150.88,4.05,1313,Sim,Sim,Médio
MLOps com IAM,Udemy,IA/ML,IAM,39,224.46,4.39,2379,Não,Sim,Médio
Pipelines de Dados com Kubernetes,DataCamp,Engenharia de Dados,Kubernetes,37,258.96,4.72,1415,Sim,Sim,Alto
Streaming com Next.js,Alura,Engenharia de Dados,Next.js,33,217.63,4.71,1309,Sim,Não,Alto
Modelagem com Flask,Origamid,Banco de Dados,Flask,19,201.77,4.17,241,Sim,Sim,Médio
Dashboards com Angular,Alura,Dados,Angular,16,161.81,4.39,580,Sim,Sim,Alto
Pipelines CI/CD com FastAPI,DIO,DevOps,FastAPI,21,116.9,3.97,762,Sim,Não,Médio
Contêineres com Kubernetes,DIO,DevOps,Kubernetes,25,176.54,4.11,657,Sim,Não,Médio
Testes Automatizados com TensorFlow,Alura,QA/Testes,TensorFlow,20,172.82,4.4,901,Não,Sim,Médio
Streaming com Kubernetes,Pluralsight,Engenharia de Dados,Kubernetes,25,245.42,4.18,1917,Sim,Sim,Médio
Do Zero em GCP,Pluralsight,Mobile,GCP,17,168.92,4.53,1213,Sim,Sim,Alto
IA Aplicada com Spark,Alura,IA/ML,Spark,32,305.29,4.56,1899,Sim,Sim,Alto
Serverless na AWS,Alura,Cloud,AWS,25,235.53,4.43,1203,Não,Sim,Médio
Contêineres com Pandas,Origamid,DevOps,Pandas,31,237.61,4.18,868,Sim,Sim,Médio
Serverless na Next.js,Udemy,Cloud,Next.js,21,186.01,4.77,1862,Sim,Sim,Alto
OWASP com Pandas,DIO,Segurança,Pandas,23,184.13,3.91,750,Sim,Não,Médio
ETL com AWS,DIO,Dados,AWS,24,99.94,3.99,740,Sim,Sim,Alto
Algoritmos com Rust,Udemy,Programação,Rust,31,147.03,4.48,1537,Sim,Sim,Alto
DevOps com React Native,DIO,DevOps,React Native,26,103.79,4.01,1615,Sim,Sim,Alto
Do Zero ao Pro em NumPy,Pluralsight,Programação,NumPy,26,183.45,4.32,815,Sim,Sim,Alto
Mobile com PyTorch,Pluralsight,Mobile,PyTorch,15,164.83,4.6,1798,Sim,Sim,Alto
OWASP com NumPy,Coursera,Segurança,NumPy,23,283.74,4.77,1775,Sim,Não,Médio
Mobile com IAM,Coursera,Mobile,IAM,20,216.09,4.2,1740,Não,Sim,Médio
Testes Automatizados com SIEM,Alura,QA/Testes,SIEM,17,166.81,4.94,1093,Sim,Sim,Alto
Modelagem com Rust,Coursera,Banco de Dados,Rust,14,270.58,4.69,2312,Sim,Sim,Alto
Pentest com NumPy,Coursera,Segurança,NumPy,31,224.76,4.73,2326,Não,Sim,Alto
Segurança com C#,Coursera,Segurança,C#,24,237.83,4.8,2090,Sim,Sim,Alto
Infra como Código na Java,Alura,Cloud,Java,28,195.06,4.52,1389,Sim,Não,Médio
Dashboards com Docker,DataCamp,Dados,Docker,22,167.03,4.58,307,Sim,Não,Médio
QA Ágil com Rust,DataCamp,QA/Testes,Rust,16,120.64,4.42,1230,Sim,Sim,Alto
Blue Team com FastAPI,Udemy,Segurança,FastAPI,12,200.94,4.26,2075,Sim,Sim,Médio
Consultas em Airflow,DataCamp,Banco de Dados,Airflow,17,189.52,4.44,1162,Sim,Não,Médio
Data Lakes com Azure,Origamid,Engenharia de Dados,Azure,31,181.6,4.13,741,Sim,Sim,Alto
Front-end com GitLab CI,Udemy,Desenvolvimento Web,GitLab CI,25,150.16,4.46,2187,Sim,Sim,Alto
Do Zero ao Pro em Python,DIO,Programação,Python,21,114.6,4.17,1412,Sim,Não,Médio
OWASP com Linux,Alura,Segurança,Linux,19,266.15,4.29,1625,Sim,Não,Médio
Algoritmos com C#,Coursera,Programação,C#,21,210.75,4.47,2298,Sim,Sim,Alto
Contêineres com Linux,Origamid,DevOps,Linux,19,167.21,4.61,885,Sim,Não,Médio
Pipelines de Dados com Power BI,Alura,Engenharia de Dados,Power BI,39,272.16,4.29,2148,Sim,Sim,Médio
Modelagem com Power BI,Udemy,Banco de Dados,Power BI,20,88.43,4.61,1175,Sim,Sim,Alto
TDD com Spark,Coursera,QA/Testes,Spark,19,141.52,4.56,1830,Sim,Sim,Alto
Infra como Código na GCP,DIO,Cloud,GCP,20,147.8,4.31,1097,Sim,Sim,Alto
Modelagem com NumPy,Alura,Banco de Dados,NumPy,25,163.71,4.65,1274,Sim,Sim,Alto
Microservices com Next.js,DataCamp,Arquitetura de Software,Next.js,27,270.29,4.56,1052,Sim,Sim,Alto
Do Zero ao Pro em TypeScript,Origamid,Programação,TypeScript,33,127.13,4.36,166,Sim,Sim,Médio
Pentest com Pandas,Udemy,Segurança,Pandas,19,193.92,4.48,2120,Sim,Sim,Alto
DevOps com Spring,Udemy,DevOps,Spring,36,168.27,4.49,2310,Sim,Não,Alto
Testes Automatizados com Docker,Udemy,QA/Testes,Docker,9,175.76,4.6,2056,Sim,Sim,Alto
OWASP com Linux,Coursera,Segurança,Linux,22,236.16,4.45,1999,Sim,Sim,Alto
OWASP com Go,DataCamp,Segurança,Go,15,188.56,4.59,1448,Sim,Sim,Alto
Machine Learning com Swift,DataCamp,IA/ML,Swift,40,271.41,4.8,1316,Sim,Não,Médio
Fundamentos de JavaScript,Udemy,Programação,JavaScript,23,138.03,4.19,1672,Sim,Sim,Alto
Streaming com Kubernetes,DIO,Engenharia de Dados,Kubernetes,19,184.05,4.24,1238,Sim,Sim,Alto
Back-end com Airflow,Alura,Desenvolvimento Web,Airflow,21,185.94,4.68,1173,Sim,Sim,Alto
Do Zero ao Pro em Flutter,Alura,Programação,Flutter,16,173.35,4.96,1043,Sim,Sim,Alto
Blue Team com Rust,Origamid,Segurança,Rust,19,209.46,4.67,647,Não,Não,Médio
Observabilidade com Docker,Coursera,DevOps,Docker,15,265.17,4.87,2903,Sim,Não,Alto
Dashboards com Swift,Alura,Dados,Swift,23,158.86,4.54,1019,Sim,Sim,Alto
Pipelines CI/CD com AWS,DIO,DevOps,AWS,12,191.74,4.15,1059,Sim,Sim,Médio
Web Moderno com React Native,Alura,Desenvolvimento Web,React Native,30,208.74,4.61,928,Não,Não,Médio
Contêineres com SIEM,DataCamp,DevOps,SIEM,18,248.44,4.44,1790,Sim,Sim,Alto
Data Lakes com Node.js,Udemy,Engenharia de Dados,Node.js,35,213.29,4.39,2200,Sim,Não,Médio
Modelagem com TensorFlow,DIO,Banco de Dados,TensorFlow,12,107.51,4.13,772,Sim,Não,Médio
Pipelines CI/CD com Spark,DataCamp,DevOps,Spark,21,174.82,4.31,473,Sim,Sim,Alto
Otimização em Hadoop,DIO,Banco de Dados,Hadoop,23,151.6,4.34,1012,Sim,Não,Médio
Web Moderno com Spark,Alura,Desenvolvimento Web,Spark,25,218.05,4.62,763,Sim,Sim,Alto
DevOps com Kotlin,Alura,DevOps,Kotlin,26,212.76,4.62,2124,Sim,Sim,Alto
Pipelines de Dados com FastAPI,Alura,Engenharia de Dados,FastAPI,31,213.87,4.62,1641,Sim,Sim,Alto
Pentest com React Native,Udemy,Segurança,React Native,31,157.27,4.53,2289,Sim,Sim,Alto
Pentest com Flask,Coursera,Segurança,Flask,29,300.75,4.72,1634,Sim,Sim,Alto
Apps com Rust,Coursera,Mobile,Rust,23,206.67,4.83,1424,Sim,Sim,Alto
Data Viz com NumPy,DataCamp,Dados,NumPy,26,188.65,4.22,1029,Não,Sim,Médio
Scalability com SIEM,Udemy,Arquitetura de Software,SIEM,19,193.27,4.1,1178,Não,Sim,Médio
Administração em TensorFlow,Alura,Banco de Dados,TensorFlow,18,172.48,4.4,1535,Sim,Sim,Alto
Testes Automatizados com FastAPI,DIO,QA/Testes,FastAPI,8,116.98,4.32,616,Sim,Sim,Alto
Pipelines de Dados com Go,DIO,Engenharia de Dados,Go,35,186.97,3.98,901,Sim,Sim,Alto
Arquiteturas na Terraform,Alura,Cloud,Terraform,27,195.32,4.56,1828,Sim,Sim,Alto
Data Lakes com Django,Udemy,Engenharia de Dados,Django,33,168.37,4.56,1405,Sim,Sim,Alto
Pentest com SQL,DIO,Segurança,SQL,12,151.35,4.34,941,Sim,Sim,Alto
Cross-platform com React,Alura,Mobile,React,14,195.99,4.58,544,Sim,Sim,Alto
Pipelines de Dados com Swift,Pluralsight,Engenharia de Dados,Swift,24,261.61,4.25,1009,Sim,Sim,Alto
Deep Learning com Pentest,Udemy,IA/ML,Pentest,52,147.98,4.57,1604,Sim,Sim,Alto
Consultas em Go,Udemy,Banco de Dados,Go,10,117.5,4.08,1692,Sim,Não,Médio
Testes Automatizados com Python,DIO,QA/Testes,Python,18,91.13,4.12,686,Sim,Sim,Alto
Front-end com Linux,Udemy,Desenvolvimento Web,Linux,25,98.17,4.62,2738,Sim,Sim,Alto
Back-end com Spark,Coursera,Desenvolvimento Web,Spark,19,241.65,4.53,2148,Sim,Sim,Alto
IA Aplicada com FastAPI,Udemy,IA/ML,FastAPI,34,189.44,4.67,2924,Sim,Sim,Alto
Front-end com SIEM,Alura,Desenvolvimento Web,SIEM,19,128.96,4.56,2369,Sim,Sim,Alto
Scalability com Pentest,Coursera,Arquitetura de Software,Pentest,28,334.87,5.0,2047,Sim,Sim,Alto
Testes de Carga com Terraform,DIO,QA/Testes,Terraform,15,112.81,4.03,427,Sim,Não,Médio
Deep Learning com Vue,Coursera,IA/ML,Vue,33,316.04,4.13,2376,Não,Sim,Médio
Análise de Dados com OWASP,DIO,Dados,OWASP,19,111.06,3.84,1244,Não,Sim,Médio
DDD com SIEM,Alura,Arquitetura de Software,SIEM,19,203.35,4.55,1293,Sim,Sim,Alto
DevOps com SQL,Coursera,DevOps,SQL,17,260.73,4.7,2428,Sim,Sim,Alto
TDD com Spark,Coursera,QA/Testes,Spark,9,168.0,4.58,1130,Sim,Sim,Alto
Do Zero ao Pro em Vue,DataCamp,Programação,Vue,25,163.28,4.63,1452,Sim,Sim,Alto
Mobile com Docker,Udemy,Mobile,Docker,16,121.52,4.28,1759,Sim,Não,Alto
Cross-platform com Flask,Origamid,Mobile,Flask,15,140.06,4.41,670,Não,Sim,Médio
Pipelines de Dados com Rust,Alura,Engenharia de Dados,Rust,35,262.34,5.0,1942,Sim,Sim,Alto
IA Aplicada com Azure,Alura,IA/ML,Azure,42,249.75,4.66,1086,Sim,Sim,Alto
Mobile com C#,Udemy,Mobile,C#,19,140.66,4.6,1363,Sim,Sim,Alto
Do Zero ao Pro em PyTorch,Pluralsight,Programação,PyTorch,35,211.38,4.32,469,Não,Não,Médio
Observabilidade com Pandas,Udemy,DevOps,Pandas,24,173.34,4.42,2048,Sim,Sim,Alto
Testes Automatizados com Power BI,DIO,QA/Testes,Power BI,15,110.54,3.96,421,Sim,Sim,Médio
Back-end com FastAPI,Coursera,Desenvolvimento Web,FastAPI,33,226.45,4.6,2586,Sim,Sim,Alto
Do Zero em Linux,Coursera,Mobile,Linux,10,181.79,4.68,705,Sim,Não,Médio
Deep Learning com Java,DIO,IA/ML,Java,34,163.66,4.06,1001,Sim,Não,Médio
Administração em Jenkins,Pluralsight,Banco de Dados,Jenkins,27,186.11,4.59,1341,Não,Sim,Alto
Web Moderno com FastAPI,Udemy,Desenvolvimento Web,FastAPI,32,94.6,4.14,1867,Sim,Não,Médio
Machine Learning com OWASP,Alura,IA/ML,OWASP,48,296.12,4.37,1769,Não,Sim,Médio
Modelagem com Swift,Alura,Banco de Dados,Swift,16,189.25,4.39,2040,Sim,Sim,Alto
Do Zero ao Pro em React Native,DIO,Programação,React Native,26,86.94,4.59,469,Sim,Não,Alto
Serverless na Hadoop,Alura,Cloud,Hadoop,22,256.52,4.3,1767,Sim,Não,Médio
MLOps com AWS,Alura,IA/ML,AWS,45,243.46,4.64,836,Sim,Sim,Alto
Administração em Airflow,Origamid,Banco de Dados,Airflow,30,120.31,4.1,1209,Sim,Sim,Alto
Serverless na Power BI,DIO,Cloud,Power BI,39,124.28,4.1,1074,Sim,Sim,Alto
IA Aplicada com Hadoop,Alura,IA/ML,Hadoop,32,271.76,4.54,1938,Sim,Sim,Alto
Modelagem com React Native,Coursera,Banco de Dados,React Native,25,251.79,4.93,1736,Sim,Sim,Alto
Microservices com Angular,Coursera,Arquitetura de Software,Angular,27,351.8,4.58,2264,Sim,Sim,Alto
Pipelines CI/CD com Pandas,Alura,DevOps,Pandas,30,255.09,4.46,1347,Sim,Sim,Alto
Testes Automatizados com Jenkins,Alura,QA/Testes,Jenkins,9,181.89,4.38,975,Sim,Sim,Alto
Otimização em Flutter,Alura,Banco de Dados,Flutter,10,186.34,4.53,1479,Sim,Sim,Alto
Full-Stack com AWS,Udemy,Desenvolvimento Web,AWS,23,138.93,4.31,1899,Sim,Sim,Alto
Testes Automatizados com Swift,DataCamp,QA/Testes,Swift,14,175.79,4.43,1061,Sim,Sim,Alto
DDD com Node.js,Coursera,Arquitetura de Software,Node.js,35,231.92,4.81,1809,Sim,Sim,Alto
ETL com NumPy,DIO,Dados,NumPy,13,115.17,4.1,120,Sim,Não,Médio
Pentest com Go,Alura,Segurança,Go,21,239.07,4.44,1678,Não,Sim,Médio
Arquitetura Limpa com React Native,Udemy,Arquitetura de Software,React Native,30,167.12,4.55,1404,Sim,Sim,Alto
ETL com Power BI,Coursera,Dados,Power BI,11,258.93,4.92,1844,Não,Não,Médio
Testes de Carga com Next.js,Origamid,QA/Testes,Next.js,11,136.85,4.48,997,Sim,Sim,Alto
Testes de Carga com C#,Alura,QA/Testes,C#,16,141.49,4.81,827,Sim,Sim,Alto
Data Lakes com TypeScript,Alura,Engenharia de Dados,TypeScript,37,272.57,4.22,2085,Sim,Sim,Alto
Otimização em Power BI,Udemy,Banco de Dados,Power BI,18,142.3,4.66,1549,Não,Sim,Alto
Front-end com Java,Alura,Desenvolvimento Web,Java,21,172.81,4.68,2046,Sim,Sim,Alto
Serverless na Airflow,Coursera,Cloud,Airflow,13,309.61,4.85,2064,Sim,Sim,Alto
Infra como Código na Spring,DataCamp,Cloud,Spring,25,154.82,4.65,1165,Sim,Não,Alto
Microservices com Jenkins,Alura,Arquitetura de Software,Jenkins,22,204.24,4.46,1111,Sim,Sim,Alto
OWASP com PyTorch,Origamid,Segurança,PyTorch,23,140.55,4.61,586,Sim,Sim,Alto
Data Viz com Swift,DataCamp,Dados,Swift,22,198.24,4.31,1479,Sim,Sim,Alto
Front-end com Rust,Pluralsight,Desenvolvimento Web,Rust,15,158.23,4.4,1267,Sim,Sim,Alto
Testes Automatizados com Hadoop,Coursera,QA/Testes,Hadoop,13,172.71,4.86,1207,Sim,Sim,Alto
Data Lakes com Jenkins,Coursera,Engenharia de Dados,Jenkins,34,284.4,4.65,1951,Sim,Sim,Alto
Contêineres com NumPy,DataCamp,DevOps,NumPy,21,200.86,4.73,1336,Sim,Sim,Alto
MLOps com Flutter,Coursera,IA/ML,Flutter,35,299.27,4.99,3066,Sim,Não,Alto
DevOps com Django,DIO,DevOps,Django,23,152.12,4.54,1014,Sim,Não,Médio
Pipelines CI/CD com C#,Pluralsight,DevOps,C#,19,197.21,4.08,1343,Sim,Sim,Médio
MLOps com NumPy,DataCamp,IA/ML,NumPy,35,254.06,4.32,1620,Sim,Sim,Alto
Do Zero ao Pro em Docker,Alura,Programação,Docker,30,108.59,4.39,1449,Sim,Não,Médio
IA Aplicada com Flask,Udemy,IA/ML,Flask,43,184.38,4.12,2454,Não,Sim,Médio
MLOps com Airflow,Alura,IA/ML,Airflow,35,247.59,4.49,1407,Sim,Sim,Alto
QA Ágil com Kubernetes,Coursera,QA/Testes,Kubernetes,13,177.86,4.67,1484,Sim,Sim,Alto
ETL com React,Coursera,Dados,React,22,197.37,4.59,2229,Sim,Sim,Alto
Testes Automatizados com Swift,Alura,QA/Testes,Swift,14,205.57,4.58,1185,Sim,Sim,Alto
IA Aplicada com PyTorch,Udemy,IA/ML,PyTorch,29,183.24,4.44,2347,Não,Sim,Médio
Mobile com Angular,Udemy,Mobile,Angular,24,128.83,4.38,1553,Sim,Sim,Alto
Pentest com Azure,Coursera,Segurança,Azure,21,267.24,4.58,1923,Sim,Sim,Alto
Apps com Kubernetes,DataCamp,Mobile,Kubernetes,25,121.92,4.81,1220,Sim,Sim,Alto
Arquitetura Limpa com TypeScript,Coursera,Arquitetura de Software,TypeScript,26,294.22,4.62,1759,Sim,Sim,Alto
OWASP com OWASP,DataCamp,Segurança,OWASP,21,201.55,4.26,952,Sim,Sim,Alto
Mobile com Node.js,DataCamp,Mobile,Node.js,25,166.4,4.36,1012,Sim,Não,Médio
Cross-platform com GitLab CI,Udemy,Mobile,GitLab CI,12,173.78,4.66,1320,Não,Sim,Alto
Algoritmos com Vue,Alura,Programação,Vue,21,144.3,4.72,1261,Sim,Sim,Alto
QA Ágil com SQL,Alura,QA/Testes,SQL,17,198.1,4.52,1230,Sim,Sim,Alto
ETL com FastAPI,Alura,Dados,FastAPI,25,152.77,4.48,1108,Sim,Sim,Alto
Data Lakes com React Native,Alura,Engenharia de Dados,React Native,30,253.67,4.6,1022,Sim,Sim,Alto
Testes de Carga com Linux,Pluralsight,QA/Testes,Linux,18,133.18,4.27,476,Não,Sim,Médio
Web Moderno com Python,DIO,Desenvolvimento Web,Python,18,113.02,4.0,510,Sim,Sim,Alto
Blue Team com TensorFlow,DataCamp,Segurança,TensorFlow,18,226.04,4.72,1065,Sim,Sim,Alto
Deep Learning com Node.js,Alura,IA/ML,Node.js,35,310.01,4.4,942,Sim,Sim,Alto
IA Aplicada com JavaScript,DataCamp,IA/ML,JavaScript,38,254.38,4.66,1240,Sim,Sim,Alto
Contêineres com IAM,DIO,DevOps,IAM,24,119.0,4.42,335,Sim,Não,Médio
Modelagem com TensorFlow,Pluralsight,Banco de Dados,TensorFlow,10,228.38,4.37,2397,Sim,Não,Alto
Pipelines de Dados com Power BI,DIO,Engenharia de Dados,Power BI,36,166.14,4.18,914,Sim,Sim,Alto
OWASP com NumPy,Udemy,Segurança,NumPy,17,166.18,4.25,1894,Não,Sim,Alto
Certificação na Go,DataCamp,Cloud,Go,35,218.93,4.78,332,Sim,Sim,Alto
Pipelines CI/CD com GitLab CI,Coursera,DevOps,GitLab CI,14,227.12,4.46,1619,Sim,Não,Médio
Dashboards com PyTorch,Udemy,Dados,PyTorch,25,131.44,4.54,1876,Sim,Não,Médio
Administração em TypeScript,Pluralsight,Banco de Dados,TypeScript,19,192.77,4.44,952,Não,Sim,Médio
Modelagem com Python,Pluralsight,Banco de Dados,Python,30,174.98,4.56,1173,Sim,Sim,Alto
Contêineres com Vue,Pluralsight,DevOps,Vue,26,166.72,4.59,1256,Sim,Sim,Alto
Data Lakes com Python,Alura,Engenharia de Dados,Python,34,228.23,4.53,1640,Sim,Sim,Alto
Data Lakes com Swift,DataCamp,Engenharia de Dados,Swift,34,237.54,4.47,1077,Sim,Sim,Alto
Deep Learning com Python,Udemy,IA/ML,Python,31,183.21,4.32,2607,Sim,Sim,Alto
ETL com Pandas,DIO,Dados,Pandas,24,116.89,4.29,1015,Sim,Sim,Alto
Scalability com TypeScript,Udemy,Arquitetura de Software,TypeScript,35,239.17,4.63,1744,Sim,Sim,Alto
Pipelines de Dados com TypeScript,Udemy,Engenharia de Dados,TypeScript,41,180.99,4.34,2266,Não,Sim,Médio
Análise de Dados com SIEM,Alura,Dados,SIEM,25,210.8,4.19,1951,Sim,Sim,Médio
Testes Automatizados com Linux,Alura,QA/Testes,Linux,8,148.13,4.32,1295,Sim,Sim,Alto
Certificação na Hadoop,DataCamp,Cloud,Hadoop,19,297.2,4.51,1385,Sim,Não,Médio
Administração em Spark,Alura,Banco de Dados,Spark,25,204.23,4.27,1087,Sim,Sim,Alto
Data Lakes com AWS,DataCamp,Engenharia de Dados,AWS,27,223.09,4.33,1736,Sim,Sim,Alto
Cross-platform com FastAPI,Udemy,Mobile,FastAPI,10,122.47,4.55,2190,Sim,Sim,Alto
IA Aplicada com Vue,Udemy,IA/ML,Vue,30,180.67,4.25,2950,Sim,Sim,Alto
Algoritmos com Spring,Udemy,Programação,Spring,24,149.73,4.36,1816,Sim,Sim,Alto
TDD com C#,Origamid,QA/Testes,C#,14,139.8,4.49,1166,Sim,Sim,Alto
Blue Team com AWS,DataCamp,Segurança,AWS,24,188.35,4.53,1101,Sim,Sim,Alto
Do Zero ao Pro em Django,Alura,Programação,Django,27,211.9,4.39,1311,Sim,Sim,Alto
Mobile com Linux,Udemy,Mobile,Linux,27,158.56,4.59,1346,Sim,Sim,Alto
DDD com Kotlin,Coursera,Arquitetura de Software,Kotlin,26,273.88,4.73,1825,Sim,Sim,Alto
ETL com Kotlin,Udemy,Dados,Kotlin,26,144.87,4.97,1312,Não,Sim,Alto
Do Zero em Angular,DataCamp,Mobile,Angular,24,174.91,4.69,660,Sim,Sim,Alto
Segurança com OWASP,Coursera,Segurança,OWASP,30,287.52,4.68,2061,Sim,Não,Médio
OWASP com TypeScript,Origamid,Segurança,TypeScript,14,174.27,4.35,777,Não,Sim,Médio
Deep Learning com Terraform,Udemy,IA/ML,Terraform,46,225.97,4.5,1588,Sim,Não,Médio
Contêineres com Angular,Origamid,DevOps,Angular,30,194.26,4.4,604,Sim,Sim,Alto
Pentest com Rust,Udemy,Segurança,Rust,18,227.37,4.35,1510,Sim,Sim,Alto
Cross-platform com Power BI,Pluralsight,Mobile,Power BI,26,181.16,4.5,574,Sim,Sim,Alto
Infra como Código na Vue,Udemy,Cloud,Vue,29,215.49,4.44,2812,Sim,Sim,Alto
IA Aplicada com TypeScript,Udemy,IA/ML,TypeScript,35,180.37,4.34,2182,Sim,Não,Médio
Apps com Spring,Pluralsight,Mobile,Spring,17,198.66,4.49,653,Não,Sim,Médio
Data Viz com Kotlin,Udemy,Dados,Kotlin,26,153.72,4.6,2231,Sim,Sim,Alto
ETL com SIEM,Coursera,Dados,SIEM,18,185.82,4.77,2440,Não,Sim,Alto
DevOps com Jenkins,DataCamp,DevOps,Jenkins,35,198.18,4.37,654,Sim,Sim,Alto
Serverless na OWASP,Pluralsight,Cloud,OWASP,34,254.4,4.74,955,Sim,Não,Médio
Testes Automatizados com Flutter,Origamid,QA/Testes,Flutter,13,148.8,4.28,1525,Sim,Sim,Alto
Deep Learning com GCP,DIO,IA/ML,GCP,41,200.73,4.56,1534,Não,Sim,Alto
Pipelines CI/CD com Kubernetes,Coursera,DevOps,Kubernetes,22,238.76,4.73,2172,Sim,Sim,Alto
ETL com Kubernetes,Alura,Dados,Kubernetes,16,168.65,4.25,1060,Sim,Sim,Alto
Infra como Código na OWASP,Udemy,Cloud,OWASP,31,200.54,4.66,1598,Sim,Sim,Alto
Testes de Carga com Azure,Alura,QA/Testes,Azure,17,140.01,4.66,950,Sim,Sim,Alto
TDD com Next.js,Udemy,QA/Testes,Next.js,18,74.21,4.52,1208,Sim,Sim,Alto
Segurança com JavaScript,Pluralsight,Segurança,JavaScript,24,211.45,4.79,1463,Sim,Não,Médio
Cross-platform com Next.js,Udemy,Mobile,Next.js,19,123.12,4.56,1070,Sim,Sim,Alto
Pentest com C#,Pluralsight,Segurança,C#,16,249.0,4.68,1697,Sim,Sim,Alto
OWASP com Rust,Udemy,Segurança,Rust,27,240.22,4.45,1688,Sim,Sim,Alto
